ITEM_NO,HREF,TITLE,IMG_SRC,IMG_ALT,MODEL,PRODUCT_DESCRIPTION
0,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HDW1100RP-S2-DOME.php,DH-HAC-HDW1100RP-S2-DOMEDahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/HAC-HDW1100R1.png,DH-HAC-HDW1100RP-S2-DOME-Dahua-camera-in-Chennai,DH-HAC-HDW1100RP-S2-DOME,@DH-HAC-HDW1100RP-S2-DOME<br/><br/>1MP HDCVI IR Eyeball Camera
1,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1100RP-S2-BULLET.php,DH-HAC-HFW1100RP-S2-BULLETDahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/HAC-HFW1100R.png,DH-HAC-HFW1100RP-S2-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1100RP-S2-BULLET,@DH-HAC-HFW1100RP-S2-BULLET<br/><br/>1MP HDCVI IR Bullet Camera
2,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1100RM-0360B-BULLET.php,DH-HAC-HFW1100RM-0360B-BULLETDahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/HAC-HFW1100RM.png,DH-HAC-HFW1100RM-0360B-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1100RM-0360B-BULLET,@DH-HAC-HFW1100RM-0360B-BULLET<br/><br/>1MP HDCVI IR Bullet Camera@ The parameters and datasheets below can only be applied to 1100-S3 series\n'@b'<br/>&#13;\n&#8226; Max 30fps@720P\n'@b'<br/>&#13;\n&#8226; HD and SD output switchable\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (2.8mm~ 6mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR length 20m~ Smart IR\n'@b'<br/>&#13;\n&#8226; IP67~ DC12V \t\n'
3,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1100BP-B-BULLET.php,DH-HAC-HFW1100BP-B-BULLETDahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/HAC-HFW1100B.png,DH-HAC-HFW1100BP-B-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1100BP-B-BULLET,@DH-HAC-HFW1100BP-B-BULLET<br/><br/>1MP HDCVI IR Bullet Camera@ The parameters and datasheets below can only be applied to 1100-S3 series\n'@b'<br/>&#13;\n&#8226; Max 30fps@720P\n'@b'<br/>&#13;\n&#8226; HD and SD output switchable\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (2.8mm~ 6mm~ 8mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR length 50m~ Smart IR\n'@b'<br/>&#13;\n&#8226; IP67~ DC12V \t\n'
4,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-XVR4104HS-4CHANNEL.php,DH-XVR4104HS-4CHANNELDahua-drv-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-XVR4104HS-4CHANNEL-DVR.png,DH-HAC-HFW1100BP-B-BULLET-Dahua-dvr-in-Chennai,DH-XVR4104HS-4CHANNEL,@DH-XVR4104HS-4CHANNEL<br/><br/>4/8/16 Channel Penta-brid 720P Compact 1U Digital Video Recorder
5,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-XVR4108HS-8CHANNEL.php,DH-XVR4108HS-8CHANNELDahua-drv-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-XVR4104HS-4CHANNEL-DVR.png,DH-HAC-HFW1100BP-B-BULLET-Dahua-dvr-in-Chennai,DH-XVR4108HS-8CHANNEL,@DH-XVR4108HS-8CHANNEL<br/><br/>DHI-XVR4104 4 Channel Penta-brid 720P Compact 1U Digital Video Recorder
6,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-XVR4116HS-16CHANNEL.php,DH-XVR4116HS-16CHANNELDahua-drv-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-XVR4104HS-4CHANNEL-DVR.png,DH-HAC-HFW1100BP-B-BULLET-Dahua-dvr-in-Chennai,DH-XVR4116HS-16CHANNEL,@DH-XVR4116HS-16CHANNEL<br/><br/>DHI-XVR4116 16 CHANNEL PENTA-BRID 720P COMPACT 1U DIGITAL VIDEO RECORDER
7,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HDW1220RP-DOME.php,DH-HAC-HDW1220RP-DOME-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HDW1220RP-DOME.jpg,DH-HAC-HDW1220RP-DOME-Dahua-camera-in-Chennai,DH-HAC-HDW1220RP-DOME,"@DH-HAC-HDW1220RP-DOME<br/><br/>2MP HDCVI IR EYEBALL CAMERA@ 1/2.9"" 2Megapixel CMOS\n'@b'<br/>&#13;\n&#8226; 25/30fps@1080P~ 25/30/50/60fps@720P\n'@b'<br/>&#13;\n&#8226; High speed~ long distance real-time transmission\n'@b'<br/>&#13;\n&#8226; HD and SD switchable\n'@b'<br/>&#13;\n&#8226; OSD Menu~ control over coaxial cable\n'@b'<br/>&#13;\n&#8226; DWDR~ Day/Night(ICR)~ AWB~ AGC~ BLC~ 2DNR\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (2.8mm~ 6mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR LEDs length 20m~ Smart IR\n'@b'<br/>&#13;\n&#8226; DC12V\t\n'"
8,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HFW1220RP-BULLET.php,DH-HAC-HFW1220RP-BULLET-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HFW1220RP-BULLET.png,DH-HAC-HFW1220RP-BULLET-Dahua-camera-in-Chennai,DH-HAC-HFW1220RP-BULLET,"@DH-HAC-HFW1220RP-BULLET<br/><br/>2MP HDCVI IR BULLET CAMERA@ 1/2.9"" 2Megapixel CMOS\n'@b'<br/>&#13;\n&#8226; 25/30fps@1080P~ 25/30/50/60fps@720P\n'@b'<br/>&#13;\n&#8226; High speed~ long distance real-time transmission\n'@b'<br/>&#13;\n&#8226; HD and SD switchable\n'@b'<br/>&#13;\n&#8226; OSD Menu~ control over coaxial cable\n'@b'<br/>&#13;\n&#8226; DWDR~ Day/Night(ICR)~ AWB~ AGC~ BLC~ 2DNR\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (2.8mm~ 6mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR LEDs length 20m~ Smart IR\n'@b'<br/>&#13;\n&#8226; IP67~ DC12V\t\n'"
9,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/DAHUA/DH-HAC-HDW1220SP-DOME.php,DH-HAC-HDW1220SP-DOME-Dahua-camera-in-Chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DH-HAC-HDW1220SP-DOME.jpg,DH-HAC-HDW1220SP-DOME-Dahua-camera-in-Chennai,DH-HAC-HDW1220SP-DOME,@DH-HAC-HDW1220SP-DOME<br/><br/>2MP Full HD Network Small IR Eyeball Cam@ 1/2.7&#8221; 2Megapixel progressive scan CMOS\n'@b'<br/>&#13;\n&#8226; H.264&amp;MJPEG dual-stream encoding\n'@b'<br/>&#13;\n&#8226; 25/30fps@2M(1920&#215; 1080)\n'@b'<br/>&#13;\n&#8226; DWDR~ Day/Night(ICR)~ 3DNR~ AWB~ AGC~ BLC\n'@b'<br/>&#13;\n&#8226; Multiple network monitoring: Web viewer~ CMS(DSS/PSS) &amp; DMSS\n'@b'<br/>&#13;\n&#8226; 3.6mm fixed lens (6mm optional)\n'@b'<br/>&#13;\n&#8226; Max. IR LEDs Length 30m\n'@b'<br/>&#13;\n&#8226; IP67~ PoE\t\n'
