ITEM_NO,HREF,TITLE,IMG_SRC,IMG_ALT,MODEL,PRODUCT_DESCRIPTION
0,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-2CE5AC0T-IRPF-DOME.php,DS-2CE5AC0T-IRPF-DOMEUnicam-camera-in-salem,http://www.cctvcameradealerschennai.com/admin/uploads/DS-2CE5AC0T-IRPF.jpg,DS-2CE5AC0T-IRPF-DOME-Unicam-camera-in-salem,DS-2CE5AC0T-IRPF-DOME,@DS-2CE5AC0T-IRPF-DOME<br/>HD720P Indoor IR Turret Camera@ 1.0 Megapixel high-performance CMOS\n'@b'<br/>&#13;\n&#8226; Analog HD output~ up to 720P resolution\n'@b'<br/>&#13;\n&#8226; True Day/Night\n'@b'<br/>&#13;\n&#8226; DNR~ Smart IR\n'@b'<br/>&#13;\n&#8226; Up to 20m IR distance\n'@b'<br/>&#13;\n&#8226; Switchable TVI/AHD/CVI/CVBS&#13;\n  \n'
1,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-2CE1AC0T-IRPF-BULLET.php,DS-2CE1AC0T-IRPF-BULLETUnicam-camera-in-salem,http://www.cctvcameradealerschennai.com/admin/uploads/DS-2CE1AC0T-IRPF.jpg,DS-2CE1AC0T-IRPF-BULLET-Unicam-camera-in-salem,DS-2CE1AC0T-IRPF-BULLET,@DS-2CE1AC0T-IRPF-BULLET<br/>HD720P IR Bullet Camera@ 1.0 Megapixel high-performance CMOS\n'@b'<br/>&#13;\n&#8226; Analog HD output~ up to 720P resolution\n'@b'<br/>&#13;\n&#8226; True Day/Night\n'@b'<br/>&#13;\n&#8226; DNR~ Smart IR\n'@b'<br/>&#13;\n&#8226; Up to 20m IR distance\n'@b'<br/>&#13;\n&#8226; IP66 weatherproof\n'@b'<br/>&#13;\n&#8226; Switchable TVI/AHD/CVI/CVBS&#13;\n  \n'
2,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-2CE5AC0T-IRF-DOME.php,DS-2CE5AC0T-IRF-DOMEUnicam-camera-in-salem,http://www.cctvcameradealerschennai.com/admin/uploads/DS-2CE5AC0T-IRF.jpg,DS-2CE5AC0T-IRF-DOME-Unicam-camera-in-salem,DS-2CE5AC0T-IRF-DOME,@DS-2CE5AC0T-IRF-DOME<br/>HD720P Indoor IR Turret Camera@ 1.0 Megapixel high-performance CMOS\n'@b'<br/>&#13;\n&#8226; Analog HD output~ up to 720P resolution\n'@b'<br/>&#13;\n&#8226; True Day/Night\n'@b'<br/>&#13;\n&#8226; DNR~ Smart IR\n'@b'<br/>&#13;\n&#8226; Up to 20m IR distance\n'@b'<br/>&#13;\n&#8226; Switchable TVI/AHD/CVI/CVBS\n'@b'<br/>&#13;\n&#8226; Metal Body&#13;\n  \n'
3,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-2CE1AC0T-IRF-BULLET.php,DS-2CE1AC0T-IRF-BULLETUnicam-camera-in-salem,http://www.cctvcameradealerschennai.com/admin/uploads/DS-2CE1AC0T-IRF.jpg,DS-2CE1AC0T-IRF-BULLET-Unicam-camera-in-salem,DS-2CE1AC0T-IRF-BULLET,@DS-2CE1AC0T-IRF-BULLET<br/>HD720P IR BULLET CAMERA@ 1.0 Megapixel high-performance CMOS\n'@b'<br/>&#13;\n&#8226; Analog HD output~ up to 720P resolution\n'@b'<br/>&#13;\n&#8226; True Day/Night\n'@b'<br/>&#13;\n&#8226; DNR~ Smart IR\n'@b'<br/>&#13;\n&#8226; Up to 20m IR distance\n'@b'<br/>&#13;\n&#8226; IP66 weatherproof\n'@b'<br/>&#13;\n&#8226; Switchable TVI/AHD/CVI/CVBS\n'@b'<br/>&#13;\n&#8226; Metal Body&#13;\n  \n'
4,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-2CE5AC0T-IT1F-DOME-.php,DS-2CE5AC0T-IT1F-DOME-Unicam-camera-in-salem,http://www.cctvcameradealerschennai.com/admin/uploads/DS-2CE5AC0T-IT1F.jpg,DS-2CE5AC0T-IT1F-DOME--Unicam-camera-in-salem,DS-2CE5AC0T-IT1F-DOME-,@DS-2CE5AC0T-IT1F-DOME-<br/>HD720P EXIR Turret Camera
5,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-2CE1AC0T-IT1F-BULLET.php,DS-2CE1AC0T-IT1F-BULLETUnicam-camera-in-salem,http://www.cctvcameradealerschennai.com/admin/uploads/DS-2CE1AC0T-IT1F.jpg,DS-2CE1AC0T-IT1F-BULLET-Unicam-camera-in-salem,DS-2CE1AC0T-IT1F-BULLET,@DS-2CE1AC0T-IT1F-BULLET<br/>HD720P EXIR Bullet Camera@ 1 Megapixel high-performance CMOS\n'@b'<br/>&#13;\n&#8226; Analog HD output~ up to 720P resolution\n'@b'<br/>&#13;\n&#8226; True Day/Night\n'@b'<br/>&#13;\n&#8226; DNR~ Smart IR\n'@b'<br/>&#13;\n&#8226; EXIR technology~ up to 20m/40m/80m IR distance\n'@b'<br/>&#13;\n&#8226; IP66 weatherproof\n'@b'<br/>&#13;\n&#8226; Switchable TVI/AHD/CVI/CVBS&#13;\n  \n'
6,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-7A04HGHI-K1-4CHANNEL.php,DS-7A04HGHI-K1-4CHANNELUnicam-drv-in-chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DS-7A04HGHI-K1.jpg,DS-2CE1AC0T-IT1F-BULLET-Unicam-dvr-in-salem,DS-7A04HGHI-K1-4CHANNEL,@DS-7A04HGHI-K1-4CHANNEL<br/>Turbo HD  4 CHANNEL DVR @ H.265+/H.265/H.264+/H.264 encoding for the main stream~ and H.265/H.264 for the sub-stream of analog cameras\n'@b'<br/>&#13;\n&#8226; Self-adaptive HDTVI/HDCVI/AHD/CVBS signal input\n'@b'<br/>&#13;\n&#8226; Up to 3 MP resolution for recording of channel 1 of DS-7104HQHI-K1~ channel 1/2 of DS-7108HQHI-K1~ and channel 1/2/3/4 of DS-7116HQHI-K1\n'@b'<br/>&#13;\n&#8226;Supports real-time 1080p lite and when enabled~ the image effect is similar with 1080p\n'
7,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-7A08HQHI-K1-8CHANNEL.php,DS-7A08HQHI-K1-8CHANNELUnicam-drv-in-chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DS-7A08HGHI-K1.jpg,DS-2CE1AC0T-IT1F-BULLET-Unicam-dvr-in-salem,DS-7A08HQHI-K1-8CHANNEL,@DS-7A08HQHI-K1-8CHANNEL<br/>TURBO HD 8 CHANNEL DVR@ H.265+/H.265/H.264+/H.264 encoding for the main stream~ and H.265/H.264 for the sub-stream of analog cameras\n'@b'<br/>&#13;\n&#8226; Self-adaptive HDTVI/HDCVI/AHD/CVBS signal input\n'@b'<br/>&#13;\n&#8226; Up to 3 MP resolution for recording of channel 1 of DS-7104HQHI-K1~ channel 1/2 of DS-7108HQHI-K1~ and channel 1/2/3/4 of DS-7116HQHI-K1\n'@b'<br/>&#13;\n&#8226;Supports real-time 1080p lite and when enabled~ the image effect is similar with 1080p\n'@b'<br/>&#13;\n&#8226; Up to 2-ch 4 MP IP cameras input\n'@b'<br/>&#13;\n&#8226; Long distance transmission over UTP and coaxial cable: max. 800m for 1080p and 1200m for 720p HDTVI signal\n'@b'<br/>&#13;\n&#8226; 4/8/16-ch synchronous playback&#13;\n  \n'
8,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-7A16HGHI-K1-16CHANNEL.php,DS-7A16HGHI-K1-16CHANNELUnicam-drv-in-chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DS-7A16HGHI-K1.jpg,DS-2CE1AC0T-IT1F-BULLET-Unicam-dvr-in-salem,DS-7A16HGHI-K1-16CHANNEL,@DS-7A16HGHI-K1-16CHANNEL<br/>TURBO HD 16 CHANNEL DVR@ H.265+/H.265/H.264+/H.264 encoding for the main stream~ and H.265/H.264 for the sub-stream of analog cameras\n'@b'<br/>&#13;\n&#8226; Self-adaptive HDTVI/HDCVI/AHD/CVBS signal input\n'@b'<br/>&#13;\n&#8226; Up to 3 MP resolution for recording of channel 1 of DS-7104HQHI-K1~ channel 1/2 of DS-7108HQHI-K1~ and channel 1/2/3/4 of DS-7116HQHI-K1\n'@b'<br/>&#13;\n&#8226; Supports real-time 1080p lite and when enabled~ the image effect is similar with 1080p\n'@b'<br/>&#13;\n&#8226; Up to 2-ch 4 MP IP cameras input\n'@b'<br/>&#13;\n&#8226; Long distance transmission over UTP and coaxial cable: max. 800m for 1080p and 1200m for 720p HDTVI signal\n'@b'<br/>&#13;\n&#8226; 4/8/16-ch synchronous playback&#13;\n  \n'
9,http://www.cctvcameradealerschennai.com/product/CCTV-CAMERA/HIKVISION/DS-7204HGHI-F1-4CHENNAL.php,DS-7204HGHI-F1-4CHENNALUnicam-drv-in-chennai,http://www.cctvcameradealerschennai.com/admin/uploads/DS-7204HGHI-F1.jpg,DS-2CE1AC0T-IT1F-BULLET-Unicam-dvr-in-salem,DS-7204HGHI-F1-4CHENNAL,@DS-7204HGHI-F1-4CHENNAL<br/>TURBO HD 4 CHANNEL DVR@ H.264 /H.264+&amp; Dual-stream video compression\n'@b'<br/>&#13;\n&#8226; Support both HD-TVI /analog and AHD cameras with\n'@b'<br/>&#13;\n&#8226; Full channel recording at up to 1080P lite resolution\n'@b'<br/>&#13;\n&#8226; HDMI and VGA output at up to 1920&#215;1080P resolution\n'@b'<br/>&#13;\n&#8226; Long transmission distance over coax cable\n'@b'<br/>&#13;\n&#8226; Support  4/8/16-ch synchronous playback at 720P\n'
